bin_lo,bin_hi,n,mean_pred,obs_rate
0.0,0.1,13341,0.0629048830391243,0.06941008919871074
0.1,0.2,4187,0.1276111327108598,0.19775495581561978
0.2,0.30000000000000004,1889,0.2576343263953019,0.29274748544203283
0.30000000000000004,0.4,1623,0.34444951145403624,0.3955637707948244
0.4,0.5,990,0.449149506932606,0.43636363636363634
0.5,0.6000000000000001,1025,0.5507105935059418,0.5365853658536586
0.6000000000000001,0.7000000000000001,762,0.6483093659369807,0.6246719160104987
0.7000000000000001,0.8,609,0.7481965157640362,0.6995073891625616
0.8,0.9,642,0.8516764896050875,0.705607476635514
0.9,1.0,1329,0.9647337668661728,0.8623024830699775
