bin,edge_lo,edge_hi,n,p_mean,obs_rate
1,0.1,0.2,1097,0.13956753398093516,0.10847766636280766
2,0.2,0.30000000000000004,111,0.23909486039358546,0.42342342342342343
3,0.30000000000000004,0.4,60,0.34349301576977986,0.5833333333333334
4,0.4,0.5,40,0.45242576524446154,0.625
5,0.5,0.6000000000000001,30,0.5466128907984131,0.9
6,0.6000000000000001,0.7000000000000001,19,0.6365604893903338,0.7894736842105263
7,0.7000000000000001,0.8,17,0.7235994501964205,0.7647058823529411
8,0.8,0.9,13,0.8454398215022076,0.8461538461538461
9,0.9,1.0,65,0.9844653041830006,0.9076923076923077
