bin_lo,bin_hi,n,mean_pred,obs_rate
0.0,0.1,13947,0.03009250732933639,0.05341650534165054
0.1,0.2,3332,0.14430567764121838,0.1788715486194478
0.2,0.30000000000000004,1865,0.24666685363111182,0.2970509383378016
0.30000000000000004,0.4,1320,0.3487997241030789,0.38484848484848483
0.4,0.5,1056,0.44835925602657273,0.4791666666666667
0.5,0.6000000000000001,980,0.5506040333399179,0.5479591836734694
0.6000000000000001,0.7000000000000001,886,0.6473777350521662,0.6410835214446953
0.7000000000000001,0.8,878,0.7516626696590731,0.7027334851936219
0.8,0.9,892,0.8515059403224853,0.7858744394618834
0.9,1.0,1241,0.9577445171751442,0.8863819500402901
