bin_lo,bin_hi,n,mean_pred,obs_rate
0.1,0.2,19364,0.15812943275339453,0.12182400330510225
0.2,0.30000000000000004,3288,0.23440864051961557,0.4534671532846715
0.30000000000000004,0.4,871,0.3439710738105336,0.5579793340987371
0.4,0.5,517,0.4492785581646289,0.6092843326885881
0.5,0.6000000000000001,364,0.5507768370534788,0.6456043956043956
0.6000000000000001,0.7000000000000001,289,0.6463165052757914,0.6851211072664359
0.7000000000000001,0.8,271,0.7536957415563225,0.7343173431734318
0.8,0.9,331,0.8481907946715951,0.6858006042296072
0.9,1.0,1102,0.9736054884519543,0.8366606170598911
