bin,edge_lo,edge_hi,n,p_mean,obs_rate
0,0.0,0.1,843,0.05431776151851995,0.0771055753262159
1,0.1,0.2,204,0.10087719298245612,0.16666666666666666
4,0.4,0.5,191,0.4370687285683313,0.4397905759162304
5,0.5,0.6000000000000001,135,0.5753086419753087,0.7185185185185186
8,0.8,0.9,23,0.8355231552947985,0.9130434782608695
9,0.9,1.0,56,0.9423415702602228,0.8928571428571429
