station,lead_h,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Bellever,24,0.1,0.2,1562,0.12821042845941263,0.09282970550576185,phase3a_per_lead
Bellever,24,0.2,0.30000000000000004,133,0.24729135342484446,0.40601503759398494,phase3a_per_lead
Bellever,24,0.30000000000000004,0.4,46,0.3446472342760591,0.5869565217391305,phase3a_per_lead
Bellever,24,0.4,0.5,34,0.4506845045003808,0.7647058823529411,phase3a_per_lead
Bellever,24,0.5,0.6000000000000001,37,0.5430269637837594,0.7837837837837838,phase3a_per_lead
Bellever,24,0.6000000000000001,0.7000000000000001,21,0.6508189206413652,0.5714285714285714,phase3a_per_lead
Bellever,24,0.7000000000000001,0.8,22,0.7556109151263928,0.5909090909090909,phase3a_per_lead
Bellever,24,0.8,0.9,49,0.8488466724309652,0.7346938775510204,phase3a_per_lead
Bellever,24,0.9,1.0,120,0.9805855711148314,0.7916666666666666,phase3a_per_lead
Bellever,48,0.0,0.1,165,0.047189273612077406,0.40606060606060607,phase3a_per_lead
Bellever,48,0.1,0.2,1671,0.1493173145040614,0.14721723518850988,phase3a_per_lead
Bellever,48,0.2,0.30000000000000004,98,0.23403173781900516,0.5306122448979592,phase3a_per_lead
Bellever,48,0.30000000000000004,0.4,29,0.3441800449231145,0.7241379310344828,phase3a_per_lead
Bellever,48,0.4,0.5,9,0.4285408493661992,0.3333333333333333,phase3a_per_lead
Bellever,48,0.5,0.6000000000000001,10,0.5375969330526955,0.8,phase3a_per_lead
Bellever,48,0.6000000000000001,0.7000000000000001,12,0.6573386175735986,1.0,phase3a_per_lead
Bellever,48,0.7000000000000001,0.8,15,0.7523463856245373,0.9333333333333333,phase3a_per_lead
Bellever,48,0.8,0.9,7,0.8430266722882613,0.8571428571428571,phase3a_per_lead
Bellever,48,0.9,1.0,8,0.9726048397923112,1.0,phase3a_per_lead
Bellever,72,0.1,0.2,1492,0.15586401080220721,0.11394101876675604,phase3a_per_lead
Bellever,72,0.2,0.30000000000000004,269,0.23828878143620874,0.4200743494423792,phase3a_per_lead
Bellever,72,0.30000000000000004,0.4,65,0.3441085449586853,0.6615384615384615,phase3a_per_lead
Bellever,72,0.4,0.5,32,0.44892950904456136,0.53125,phase3a_per_lead
Bellever,72,0.5,0.6000000000000001,32,0.5509819248103016,0.4375,phase3a_per_lead
Bellever,72,0.6000000000000001,0.7000000000000001,27,0.6415027720051631,0.5925925925925926,phase3a_per_lead
Bellever,72,0.7000000000000001,0.8,16,0.7464456104965957,0.5625,phase3a_per_lead
Bellever,72,0.8,0.9,16,0.8525782554497969,0.8125,phase3a_per_lead
Bellever,72,0.9,1.0,41,0.9578251724596283,0.8048780487804879,phase3a_per_lead
Princetown,24,0.1,0.2,1540,0.1442782807366198,0.13116883116883116,phase3a_per_lead
Princetown,24,0.2,0.30000000000000004,249,0.23872225085096654,0.3493975903614458,phase3a_per_lead
Princetown,24,0.30000000000000004,0.4,80,0.34335881009737335,0.55,phase3a_per_lead
Princetown,24,0.4,0.5,72,0.4538140518910109,0.625,phase3a_per_lead
Princetown,24,0.5,0.6000000000000001,59,0.5429755295286549,0.559322033898305,phase3a_per_lead
Princetown,24,0.6000000000000001,0.7000000000000001,51,0.6363809123767925,0.5686274509803921,phase3a_per_lead
Princetown,24,0.7000000000000001,0.8,51,0.7514651248703861,0.6274509803921569,phase3a_per_lead
Princetown,24,0.8,0.9,60,0.8526414983882833,0.5833333333333334,phase3a_per_lead
Princetown,24,0.9,1.0,352,0.9825633848100016,0.8011363636363636,phase3a_per_lead
Princetown,48,0.0,0.1,352,0.040986306682313484,0.6221590909090909,phase3a_per_lead
Princetown,48,0.1,0.2,1705,0.16091342580426896,0.1841642228739003,phase3a_per_lead
Princetown,48,0.2,0.30000000000000004,232,0.23180998174104311,0.4396551724137931,phase3a_per_lead
Princetown,48,0.30000000000000004,0.4,67,0.3439327283617626,0.5970149253731343,phase3a_per_lead
Princetown,48,0.4,0.5,39,0.4441650055711534,0.5641025641025641,phase3a_per_lead
Princetown,48,0.5,0.6000000000000001,25,0.5585384293746871,0.64,phase3a_per_lead
Princetown,48,0.6000000000000001,0.7000000000000001,36,0.6517296298183834,0.8333333333333334,phase3a_per_lead
Princetown,48,0.7000000000000001,0.8,22,0.7382649025943298,0.8636363636363636,phase3a_per_lead
Princetown,48,0.8,0.9,19,0.8595840624018352,0.8421052631578947,phase3a_per_lead
Princetown,48,0.9,1.0,17,0.9349995379460163,0.6470588235294118,phase3a_per_lead
Princetown,72,0.1,0.2,1329,0.17359194380400877,0.15500376222723852,phase3a_per_lead
Princetown,72,0.2,0.30000000000000004,522,0.23742830333990772,0.32950191570881227,phase3a_per_lead
Princetown,72,0.30000000000000004,0.4,157,0.34333605508174353,0.4840764331210191,phase3a_per_lead
Princetown,72,0.4,0.5,105,0.45259215042581724,0.6095238095238096,phase3a_per_lead
