feature,sigma_station_mean,sigma_station_lo94,sigma_station_hi94,sigma_lead_mean,sigma_lead_lo94,sigma_lead_hi94,sigma_interaction_mean,sigma_interaction_lo94,sigma_interaction_hi94
precip_ukmo_seamless,0.2852032690703645,0.01358072957864089,0.8528671558955955,1.1193176790656674,0.5954772746593466,1.711272742918208,0.15948469619128572,0.006958492944009481,0.45307743670679196
precip_gfs_seamless,0.1629239292864355,0.006142799460270765,0.5601756202778352,0.1667991792589949,0.0070755697792230805,0.5630930984936986,0.07097162868290968,0.0028042551780041664,0.2132867396775475
hour_cos,0.15871016205244826,0.00934992104633381,0.542457081845131,0.09722541321994417,0.0028843293791513632,0.41864565281667276,0.041156883134639284,0.001793913001013641,0.12841640471657326
precip_gem_seamless,0.14001743873752637,0.00423119147726593,0.5336311952329506,0.22342530796047771,0.017378221601729776,0.6761302853841877,0.08248650226939182,0.00374705443081476,0.24565062804138424
precip_meteofrance_seamless,0.12696413806227114,0.004420085951619502,0.4961021383603642,0.2838829035263694,0.042380913183097405,0.7317121713372058,0.07083423370476935,0.0026982335351409007,0.22212149793870964
precip_ecmwf_ifs025,0.12390550840596383,0.004264482581052798,0.49361491141997793,0.5002571257355738,0.22335497371571938,0.9771954307624613,0.062080017540912094,0.0025858795379518342,0.19523244319844565
precip_icon_seamless,0.11269168887027135,0.0036666193167485257,0.45653935828523245,0.2143495454770351,0.01565674240723903,0.6279332870083452,0.06587954638190589,0.002713618570574764,0.20182352756047958
hour_sin,0.10597189046096409,0.0032706275317590646,0.4390477000144416,0.1181424678616149,0.003781867409530979,0.4561005162623835,0.03944727989773752,0.0015274261181480574,0.12312989199897421
