station,lead_h,n_test,obs_wet,model_a_brier,model_b_brier,model_a_logloss,model_b_logloss,a_pred_wet,b_pred_wet
Bellever,24,2024,0.2159090909090909,0.1192355261268513,0.11927019081649427,0.419512329535771,0.4127484550888891,0.2341787923902984,0.2308206837069706
Bellever,48,2024,0.2159090909090909,0.15792830291768292,0.1566539228047974,0.5399103507635435,0.5202725402348745,0.16417980033880558,0.16443732852550202
Bellever,72,1990,0.2150753768844221,0.14264583131303563,0.14238564557226463,0.45369513877925044,0.4520945313689195,0.217682812260819,0.21667700693266176
Princetown,24,2514,0.3138424821002387,0.15833977832471569,0.1577295776295125,0.5292063203411813,0.5221320530782295,0.33476937742181473,0.33253932877645637
Princetown,48,2514,0.3138424821002387,0.23201933045315187,0.2304089829790116,0.8188200840091876,0.7709928485645816,0.18648570378898544,0.18867005946400342
Princetown,72,2514,0.3138424821002387,0.18128670348593523,0.1812856840154649,0.551978328279347,0.5490069295454486,0.3019447632581638,0.2960417538088865
Hexworthy,24,2025,0.2474074074074074,0.13753800326207832,0.13747562069245634,0.4525141678964456,0.4465797569292674,0.243507230347392,0.2417911503283607
Hexworthy,48,2025,0.2474074074074074,0.17807043164083877,0.1766430104740466,0.6003288876047447,0.5759797760669445,0.17427558373696458,0.1761431440439623
Hexworthy,72,1991,0.24610748367654445,0.159127277035565,0.1586540364427311,0.4923199515305596,0.4906435374531774,0.22815505157592353,0.22872625930977294
