param,station,lead_h,mean,sd
intercept,Bellever,24,-0.984758579155385,0.1555866090393321
precip_ecmwf_ifs025,Bellever,24,1.1405262248414552,0.12122053750076969
precip_gem_seamless,Bellever,24,0.628553263237833,0.11651312903742517
precip_gfs_seamless,Bellever,24,0.1042207670947657,0.10350934663218757
precip_icon_seamless,Bellever,24,0.07496491352066594,0.1191273515282481
precip_meteofrance_seamless,Bellever,24,0.21526753745351612,0.09468622944904077
precip_ukmo_seamless,Bellever,24,1.7627642414912446,0.6928403140707421
hour_sin,Bellever,24,0.052622509638097996,0.06388347935738664
hour_cos,Bellever,24,-0.1500032043016263,0.06251256732689836
intercept,Bellever,48,-1.8727858774633197,0.19262980581899794
precip_ecmwf_ifs025,Bellever,48,0.7664282810001392,0.0986347505347311
precip_gem_seamless,Bellever,48,0.4897880566846452,0.08450494003023522
precip_gfs_seamless,Bellever,48,-0.004679428626611177,0.07531860315092419
precip_icon_seamless,Bellever,48,0.12420641207257199,0.10299511821269836
precip_meteofrance_seamless,Bellever,48,-0.12493486092286113,0.13511305983427296
precip_ukmo_seamless,Bellever,48,-2.080354215456576,0.8807321438945576
hour_sin,Bellever,48,0.018138786047935524,0.06067764939599773
hour_cos,Bellever,48,-0.13581746823671279,0.06208736485983903
intercept,Bellever,72,-1.2313899615167538,0.11465846875042267
precip_ecmwf_ifs025,Bellever,72,0.28186119951238964,0.0753939572845612
precip_gem_seamless,Bellever,72,0.7385268775599623,0.12663440744407792
precip_gfs_seamless,Bellever,72,0.15018845462623515,0.11845261787047358
precip_icon_seamless,Bellever,72,0.29252321578407064,0.08636914480554021
precip_meteofrance_seamless,Bellever,72,-0.0034730210140555807,0.12949074142886846
precip_ukmo_seamless,Bellever,72,0.3915397985263748,0.4744548363873233
hour_sin,Bellever,72,-0.023514362024688217,0.060774230357820806
hour_cos,Bellever,72,-0.17258212977127374,0.062096272417845474
intercept,Princetown,24,-0.9575638488719124,0.15534436992991055
precip_ecmwf_ifs025,Princetown,24,1.09925829159859,0.11938204679768165
precip_gem_seamless,Princetown,24,0.5298653989940479,0.11337345175756973
precip_gfs_seamless,Princetown,24,-0.015817866709414315,0.09664350420843723
precip_icon_seamless,Princetown,24,0.07473880278409012,0.11439785393526157
precip_meteofrance_seamless,Princetown,24,0.20394823558370803,0.09438194689272322
precip_ukmo_seamless,Princetown,24,1.5253837767960432,0.6853861330952049
hour_sin,Princetown,24,0.08514141522186577,0.06312240762198452
hour_cos,Princetown,24,-0.03897864064860447,0.06435565025568672
intercept,Princetown,48,-1.8427558586174217,0.19220376528159036
precip_ecmwf_ifs025,Princetown,48,0.710474880510027,0.09469614461280372
precip_gem_seamless,Princetown,48,0.4064437184092633,0.07457403101785867
precip_gfs_seamless,Princetown,48,-0.13900470861853376,0.09219833755996641
precip_icon_seamless,Princetown,48,0.10869516897353722,0.09979702190337714
precip_meteofrance_seamless,Princetown,48,-0.09981768659393181,0.13226239838742257
precip_ukmo_seamless,Princetown,48,-2.2627004378079127,0.885725279231246
hour_sin,Princetown,48,0.05290778217109136,0.05997003675103356
hour_cos,Princetown,48,-0.02812769340257768,0.0642661275218799
intercept,Princetown,72,-1.205147907404943,0.1139782497434744
precip_ecmwf_ifs025,Princetown,72,0.22958654999943554,0.0758500558723415
precip_gem_seamless,Princetown,72,0.6447167738595913,0.11185490051822426
precip_gfs_seamless,Princetown,72,0.0012766377873341557,0.11512481071773986
precip_icon_seamless,Princetown,72,0.2530316458542978,0.08576769454303279
precip_meteofrance_seamless,Princetown,72,0.004352541840423241,0.12975120175636357
precip_ukmo_seamless,Princetown,72,0.2183471756649128,0.47716529438864025
hour_sin,Princetown,72,0.011489726063035348,0.06110349015328769
hour_cos,Princetown,72,-0.06471944369107131,0.06264260409913058
