variant,n_feats_eff,wall_s,brier,bss,delta_vs_22tuned,delta_vs_3a_deployed
v1 22 + 3 synoptic,22,82.7,0.1167,0.4845,-0.0057,-0.01
v2 22 + 4 EA persistence,23,96.5,0.1217,0.4623,-0.0007,-0.005
v3 22 + 3 syn + 4 EA,26,102.0,0.1186,0.476,-0.0038,-0.0081
