date,station,lead,window_length,bayesian_mean_p,bayesian_ci_lo,bayesian_ci_hi,lightgbm_stripped_mean_p,lightgbm_native_mean_p,observed_truth
2025-10-05,Hexworthy,24,6,0.968,0.9575071121770546,0.9759668838528386,0.99,0.997,1
2025-09-14,Bellever,24,2,1.0,0.9973012778097151,1.0,1.0,1.0,1
2025-09-14,Bellever,24,3,0.981,0.9724917476005512,0.9869120816523946,0.989,0.999,1
2025-09-14,Bellever,24,4,0.887,0.8694757156694473,0.9024354733552722,0.931,0.985,1
2025-09-14,Bellever,24,6,0.614,0.5884000028533027,0.6389846884873123,0.72,0.888,1
2025-09-14,Princetown,24,2,0.994,0.9884392411335976,0.9968944213424009,1.0,1.0,1
2025-09-14,Princetown,24,3,0.937,0.9231439428890583,0.9484973739166328,0.989,0.999,1
2025-09-14,Princetown,24,4,0.744,0.720660175185207,0.766022848385934,0.931,0.985,1
2025-09-14,Princetown,24,6,0.37,0.34526706967419396,0.39543459809528014,0.72,0.888,1
2025-09-14,Hexworthy,24,2,1.0,0.9973012778097151,1.0,1.0,1.0,1
2025-09-14,Hexworthy,24,3,0.966,0.9552440587208006,0.9742407321978537,0.989,0.999,1
2025-09-14,Hexworthy,24,4,0.833,0.8127046876975867,0.8514979633236834,0.931,0.985,1
2025-09-14,Hexworthy,24,6,0.521,0.49499157115287357,0.5468950825151345,0.72,0.888,1
