tau,slice,series,n,sq
75,sco,s96,401,38.98053175609431
75,sco,s120,401,42.08417148742734
75,sco,b24x48,401,39.26344186919987
75,sco,b24x72,401,38.183150281924135
75,sco,b24x96,401,38.000379330254376
75,sco,b24x120,401,39.18557567377988
75,sco,b48x72,401,39.9120326103217
75,sco,b48x96,401,39.69020533769118
75,sco,b48x120,401,40.962780197027335
75,sco,b72x96,401,38.73781821507334
75,sco,b72x120,401,40.16859044093853
75,sco,b96x120,401,39.95387043743233
78,sel,s24,646,52.5428704401839
78,sel,s48,646,50.37403191363963
78,sel,s72,646,48.5203023289624
78,sel,s96,646,51.12574571073062
78,sel,s120,646,51.15753154207242
78,sel,b24x48,646,51.06686023684926
78,sel,b24x72,646,49.93566191687919
78,sel,b24x96,646,50.94429401711703
78,sel,b24x120,646,49.85519521902376
78,sel,b48x72,646,49.066522919914945
78,sel,b48x96,646,49.995240282490556
78,sel,b48x120,646,49.08385681362705
78,sel,b72x96,646,49.43739555176416
78,sel,b72x120,646,48.81145588162377
78,sel,b96x120,646,50.4488819750467
78,sco,s24,401,39.4743534456633
78,sco,s48,401,42.797252087020006
78,sco,s72,401,40.120996166764996
78,sco,s96,401,40.1878676544968
78,sco,s120,401,42.30935004814407
78,sco,b24x48,401,40.88015546290088
78,sco,b24x72,401,39.48116746255828
78,sco,b24x96,401,39.39404892688802
78,sco,b24x120,401,40.069315398405905
78,sco,b48x72,401,41.21239486831786
78,sco,b48x96,401,41.147822780094735
78,sco,b48x120,401,41.83870298402238
78,sco,b72x96,401,39.79974344425739
78,sco,b72x120,401,40.744604796233396
78,sco,b96x120,401,40.67744721227728
81,sel,s24,643,53.12180733573342
81,sel,s48,643,50.50706589862012
81,sel,s72,643,49.605464491640944
81,sel,s96,643,52.39264055563022
81,sel,s120,643,52.014856831332004
81,sel,b24x48,643,51.36837298155887
81,sel,b24x72,643,50.7113245261899
81,sel,b24x96,643,51.9832602514607
81,sel,b24x120,643,50.694414824719466
81,sel,b48x72,643,49.70563200630639
81,sel,b48x96,643,50.85671187380205
81,sel,b48x120,643,49.75905624697469
81,sel,b72x96,643,50.63664149768331
81,sel,b72x120,643,49.796524709730896
81,sel,b96x120,643,51.4645360864932
81,sco,s24,401,41.30549014116791
81,sco,s48,401,44.546723983540204
81,sco,s72,401,41.626013796572124
81,sco,s96,401,42.01197440333986
81,sco,s120,401,43.66255913713651
81,sco,b24x48,401,42.656147426363745
81,sco,b24x72,401,41.2113947500103
81,sco,b24x96,401,41.25281326611667
81,sco,b24x120,401,41.68765211741236
81,sco,b48x72,401,42.85717249553549
81,sco,b48x96,401,42.9123858050521
81,sco,b48x120,401,43.33446566603712
81,sco,b72x96,401,41.48393247126505
