param,station,mean,sd
intercept,Bellever,-1.3002885732064875,0.03609666321243977
precip_ecmwf_ifs025,Bellever,1.0626034807077422,0.08042464188005138
precip_gem_seamless,Bellever,1.116269444356304,0.09161415999035993
precip_gfs_seamless,Bellever,0.014000613653953688,0.051895777261287176
precip_icon_seamless,Bellever,0.18794409152913907,0.06695578671055206
precip_meteofrance_seamless,Bellever,0.4586996798630007,0.07561275205731825
precip_ukmo_seamless,Bellever,0.4397185755128027,0.07874943017113818
hour_sin,Bellever,0.1786147408666195,0.03351441532308193
hour_cos,Bellever,0.2204440059895147,0.03621692717225604
intercept,Princetown,-1.3680416200028769,0.030344278417569925
precip_ecmwf_ifs025,Princetown,1.056438395927856,0.06914477375090262
precip_gem_seamless,Princetown,0.6114363392246724,0.0651426588235084
precip_gfs_seamless,Princetown,-0.02274900921900023,0.042147038771204334
precip_icon_seamless,Princetown,0.23358852297409533,0.05631528240957277
precip_meteofrance_seamless,Princetown,0.29548536027132705,0.053384904099429316
precip_ukmo_seamless,Princetown,0.31330714647911084,0.05361994411242711
hour_sin,Princetown,0.15595032981315893,0.02777425877641221
hour_cos,Princetown,0.13022000608909928,0.02828411681650485
intercept,Hexworthy,-1.0540432326530567,0.0338320081321987
precip_ecmwf_ifs025,Hexworthy,0.9312116845184465,0.08400611913822112
precip_gem_seamless,Hexworthy,0.9478175788537649,0.08443613087874416
precip_gfs_seamless,Hexworthy,0.01070732682347639,0.04844277109923237
precip_icon_seamless,Hexworthy,0.21621118308856865,0.06321669593415857
precip_meteofrance_seamless,Hexworthy,0.3439014860034046,0.05953015582667671
precip_ukmo_seamless,Hexworthy,0.3758221960065204,0.06617451967673983
hour_sin,Hexworthy,0.08771854938810006,0.03166059548541228
hour_cos,Hexworthy,0.1163395884368699,0.030284793432460048
