feature,mu_mean,mu_sd,mu_lo94,mu_hi94
precip_ecmwf_ifs025,0.9970468156328982,0.1430891099967032,0.682508430010137,1.2495800340603571
precip_gem_seamless,0.8389402000332353,0.24407703623147986,0.31123768872694213,1.267726619520185
precip_gfs_seamless,-0.0017440762105905222,0.08967524609918283,-0.1729362691331469,0.1625040988320329
precip_icon_seamless,0.211208948559257,0.10926730038110159,0.015652295281068717,0.40404408604568526
precip_meteofrance_seamless,0.35838386487887164,0.14411338265938087,0.07547695020112408,0.630354243441598
precip_ukmo_seamless,0.36985579989964107,0.12520972096308194,0.12860203548330237,0.6068278733119143
hour_sin,0.14089313261419925,0.09706217307984367,-0.058972775474020446,0.33401895993585606
hour_cos,0.1526989955016745,0.09720985097864741,-0.04572555903902433,0.33759556664571605
