station,no_pooling,full_pooling,partial_pooling
Bellever,0.12163726241363625,0.12239421053934835,0.12163678608505293
Princetown,0.15908515818720098,0.15742830874328653,0.15904937280261344
Hexworthy,0.14061651498750213,0.14394075762080474,0.14049326001467438
