station,obs,no_pool_pred,full_pool_pred,partial_pool_pred
Bellever,0.2159090909090909,0.19088819293846432,0.20124048759543756,0.19091958622808614
Princetown,0.3138424821002387,0.2806478230264327,0.2980537975822231,0.2812998484348171
Hexworthy,0.2474074074074074,0.2263671789953025,0.2011656883595562,0.22561212876666312
