feature,sigma_mean,sigma_sd,sigma_lo94,sigma_hi94
precip_gem_seamless,0.38532167984633836,0.2036745647593034,0.13747604396171648,0.8748895573101471
precip_meteofrance_seamless,0.191211349307228,0.16342654533194487,0.016149736857399878,0.6055887135253286
precip_ecmwf_ifs025,0.18459433061424987,0.1639230204977349,0.010646785453387703,0.6087593887559669
precip_ukmo_seamless,0.16394946657852197,0.1520095358631862,0.008780717518516884,0.5630842556321366
hour_cos,0.14248233500924806,0.13028882296062344,0.018291704308018034,0.49514101998176224
hour_sin,0.13324691963667726,0.13046795471879563,0.012333989244493495,0.48984093834735076
precip_icon_seamless,0.11729594391589863,0.13740587920814853,0.0032059313729003265,0.47040008230532737
precip_gfs_seamless,0.09983148590058083,0.11980063842676544,0.003009598925930754,0.42254353325519545
