lead,variant,station,n_test,brier,bss,clim_brier,n_pooled_train,n_feats_eff,wall_s
24,rich-pooled-terrain-v3,ea_bellever_dartmoor,3059,0.1159,0.4748,0.2206,14271,71,185.6
48,rich-pooled-terrain-v3,ea_bellever_dartmoor,3056,0.1306,0.4071,0.2202,14254,71,181.0
72,rich-pooled-terrain-v3,ea_bellever_dartmoor,3051,0.1445,0.3423,0.2197,14238,71,181.8
