lead,variant,station,n_test,brier,bss,clim_brier,n_pooled_train,n_feats_eff,wall_s
24,rich-pooled-terrain-dynlee,ea_princetown,3059,0.1175,0.4498,0.2136,14272,66,180.9
48,rich-pooled-terrain-dynlee,ea_princetown,3056,0.131,0.3869,0.2137,14255,66,180.4
72,rich-pooled-terrain-dynlee,ea_princetown,3052,0.1462,0.3169,0.214,14238,66,182.5
