lead,variant,station,n_test,brier,bss,clim_brier,n_pooled_train,n_feats_eff,wall_s
24,rich-pooled-terrain,ea_bovey_tracey,2953,0.0873,0.4866,0.1702,13778,65,189.6
48,rich-pooled-terrain,ea_bovey_tracey,2950,0.1026,0.3976,0.1703,13761,65,179.9
72,rich-pooled-terrain,ea_bovey_tracey,2946,0.1108,0.3494,0.1703,13744,65,171.5
