lead,variant,station,n_test,brier,bss,clim_brier,n_pooled_train,n_feats_eff,wall_s
24,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3060,0.1367,0.4258,0.238,14277,65,190.7
48,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3057,0.1502,0.3694,0.2382,14260,65,193.2
72,rich-pooled-terrain,ea_dartmoor_nr_hexworthy,3053,0.1631,0.3147,0.238,14243,65,194.0
