mae,rmse,r2,mae_wet,corr,n,n_wet,lead,model
0.16744731364369725,0.5296196184927869,0.3868757684260332,0.6379269306066111,0.6333410296982634,17089,3381,24,equal_mean (no intercept)
0.19333014314082744,0.5278793943808829,0.3908983559712583,0.6243617248043627,0.6337656821461959,17089,3381,24,equal_mean + per-station bias
0.19439589311713576,0.5311054110399284,0.3834308309460016,0.6261356698658092,0.626436990605995,17089,3381,24,constrained_mse
0.18253861516076242,0.5276901685038374,0.39133495999911116,0.6289063468879574,0.6341209215759916,17089,3381,24,constrained_tweedie
0.19005015429571978,0.5295219886702867,0.3871017936358272,0.6261626330092692,0.6239919325925688,17089,3381,24,unconstrained_ols
0.1893069615932276,0.5676848247708217,0.2955747383107944,0.6984098815509641,0.5468431544114594,17089,3381,48,equal_mean (no intercept)
0.2150857109734565,0.5662980584251965,0.2990121388827891,0.6840410515377338,0.5472854009202718,17089,3381,48,equal_mean + per-station bias
0.21627740111226995,0.5674808066357193,0.2960809688712912,0.6876071166134516,0.5441477010605631,17089,3381,48,constrained_mse
0.2068575546457907,0.56345127300309,0.3060421688833691,0.6853672093492991,0.5542042453559394,17089,3381,48,constrained_tweedie
0.2164731291141973,0.5674949966916606,0.29604576494827595,0.6875213669750739,0.5441061537203962,17089,3381,48,unconstrained_ols
0.20401248923701965,0.5892207546324043,0.24111420425478602,0.7197709609723806,0.49505214552794524,17089,3381,72,equal_mean (no intercept)
0.23240000145714731,0.5878825637573978,0.24455733092458942,0.703668617102716,0.49557093846678923,17089,3381,72,equal_mean + per-station bias
0.23204430926799197,0.5924550789016373,0.23276005431699232,0.7080098897508641,0.48252640318373213,17089,3381,72,constrained_mse
0.22708032617634433,0.5904446165495062,0.23795838875987352,0.7029225237924116,0.4879395416532339,17089,3381,72,constrained_tweedie
0.23506499766298383,0.5947043219647202,0.22692337573644628,0.7079593451525131,0.4778699999552378,17089,3381,72,unconstrained_ols
