mae,rmse,r2,mae_wet,n,crps,station,lead,model
0.16492817167815185,0.43783842542042467,0.370765417127778,0.541068601351266,5732,0.16492817167815185,Chards Snowdon Hill,24,two_stage_point
0.15830042323684398,0.43676455830829364,0.3738482241073763,0.5426375401987694,5732,0.10074035194726867,Chards Snowdon Hill,24,two_stage_distribution
0.14362600937095005,0.4276974503776408,0.39957583945561737,0.5377706617871302,5732,0.14362600937095005,Chards Snowdon Hill,24,equal_mean (point)
0.14362600937095005,0.4276974503776408,0.39957583945561737,0.5377706617871302,5732,0.10555381452418139,Chards Snowdon Hill,24,ensemble_7nwp
0.15401963770696517,0.43447720889010194,0.3803894031583964,0.5386530821424257,5732,0.15401963770696517,Chards Snowdon Hill,24,lgbm_tweedie_single_stage
0.18920690808485263,0.46717168736278475,0.2836292145134667,0.5720140757832806,5732,0.18920690808485263,Chards Snowdon Hill,48,two_stage_point
0.17866427239050953,0.46260453232428933,0.2975674894169483,0.5770559445742645,5732,0.11164299462151109,Chards Snowdon Hill,48,two_stage_distribution
0.16508282657096335,0.46481407691716775,0.290841387961575,0.5952184899577397,5732,0.16508282657096335,Chards Snowdon Hill,48,equal_mean (point)
0.16508282657096335,0.46481407691716775,0.290841387961575,0.5952184899577397,5732,0.11786118785732484,Chards Snowdon Hill,48,ensemble_7nwp
0.17334792983453018,0.46565917615336627,0.28826033783094007,0.5809909081619504,5732,0.17334792983453018,Chards Snowdon Hill,48,lgbm_tweedie_single_stage
0.2076223511879993,0.493576368816933,0.20036176087533164,0.5948350210416329,5732,0.2076223511879993,Chards Snowdon Hill,72,two_stage_point
0.196018308508435,0.4918360721964376,0.20599069485252997,0.6027232432755674,5732,0.12114422397024763,Chards Snowdon Hill,72,two_stage_distribution
0.1797445253048882,0.48382745247012315,0.2316380495814604,0.6143143815623231,5732,0.1797445253048882,Chards Snowdon Hill,72,equal_mean (point)
0.1797445253048882,0.48382745247012315,0.2316380495814604,0.6143143815623231,5732,0.12680576917903705,Chards Snowdon Hill,72,ensemble_7nwp
0.19412585031520957,0.4909466881907977,0.20885970233929518,0.6015113765640756,5732,0.19412585031520957,Chards Snowdon Hill,72,lgbm_tweedie_single_stage
0.204007861428216,0.5491465548883483,0.3970782865928255,0.6499206653289021,5627,0.204007861428216,Goren,24,two_stage_point
0.19431748588195016,0.5516805569196785,0.3915011603693317,0.65764590989531,5627,0.127668632156997,Goren,24,two_stage_distribution
0.17617820542114127,0.5467074325773652,0.40242233851373155,0.657598433312719,5627,0.17617820542114127,Goren,24,equal_mean (point)
0.17617820542114127,0.5467074325773652,0.40242233851373155,0.657598433312719,5627,0.1355145381415406,Goren,24,ensemble_7nwp
0.19232024277071016,0.5434835946998183,0.4094491806168957,0.64595401296504,5627,0.19232024277071016,Goren,24,lgbm_tweedie_single_stage
0.23154208293449,0.5887621940846662,0.3069505422130061,0.7022640435452878,5627,0.23154208293449,Goren,48,two_stage_point
0.21839395565122616,0.5849321598778627,0.31593810766423414,0.6996215087974327,5627,0.13934507941708976,Goren,48,two_stage_distribution
0.19947955012820837,0.5901853210519331,0.3035960829842874,0.7235188620902907,5627,0.19947955012820837,Goren,48,equal_mean (point)
0.19947955012820837,0.5901853210519331,0.3035960829842874,0.7235188620902907,5627,0.14960715403986372,Goren,48,ensemble_7nwp
0.2188189205009758,0.5838016865567188,0.31857966679585614,0.7031221139410252,5627,0.2188189205009758,Goren,48,lgbm_tweedie_single_stage
0.25972081303241706,0.6235291734756087,0.22268337962873885,0.7232709115971676,5627,0.25972081303241706,Goren,72,two_stage_point
0.2418954270486506,0.6230064497416363,0.22398613031784764,0.7296146076292743,5627,0.15220681666606492,Goren,72,two_stage_distribution
0.21316357358653432,0.6106841522190787,0.254379744411818,0.7411482168625027,5627,0.21316357358653432,Goren,72,equal_mean (point)
0.21316357358653432,0.6106841522190787,0.254379744411818,0.7411482168625027,5627,0.15851861389067207,Goren,72,ensemble_7nwp
0.2448862812267241,0.6215796329947109,0.22753653237360638,0.7383969113258894,5627,0.2448862812267241,Goren,72,lgbm_tweedie_single_stage
0.20683555539387344,0.6050228250443358,0.35478562080936993,0.7108753553567309,5730,0.20683555539387344,Raymonds Hill,24,two_stage_point
0.19670651037837855,0.6079692150274969,0.348486082816297,0.7178357800509313,5730,0.13308761095953134,Raymonds Hill,24,two_stage_distribution
0.18270298346214578,0.6000344652398956,0.3653812313022252,0.7144937586685159,5730,0.18270298346214578,Raymonds Hill,24,equal_mean (point)
0.18270298346214578,0.6000344652398956,0.3653812313022252,0.7144937586685159,5730,0.14007753479518625,Raymonds Hill,24,ensemble_7nwp
0.19256870897813455,0.6017875137626146,0.36166763578806205,0.7133536994439547,5730,0.19256870897813455,Raymonds Hill,24,lgbm_tweedie_single_stage
0.23653447291328517,0.6408580213039993,0.27609067950733357,0.7440678955499292,5730,0.23653447291328517,Raymonds Hill,48,two_stage_point
0.22082868572879738,0.6363390345486696,0.2862639243386722,0.7542442854376454,5730,0.1447901744644362,Raymonds Hill,48,two_stage_distribution
0.20354982132469043,0.6347698210209635,0.2897797336095349,0.7723616189635607,5730,0.20354982132469043,Raymonds Hill,48,equal_mean (point)
0.20354982132469043,0.6347698210209635,0.2897797336095349,0.7723616189635607,5730,0.15350358933567612,Raymonds Hill,48,ensemble_7nwp
0.21742660115132084,0.6404992004510403,0.2769010962681303,0.7579515021686201,5730,0.21742660115132084,Raymonds Hill,48,lgbm_tweedie_single_stage
0.25946429461230547,0.6715167905291277,0.2051699617735241,0.7829859755243006,5730,0.25946429461230547,Raymonds Hill,72,two_stage_point
0.24301789463326395,0.6680412025374423,0.21337631728659634,0.7898333507209507,5730,0.1557697770471471,Raymonds Hill,72,two_stage_distribution
0.2193397324025596,0.6595620568717182,0.23321811078347576,0.7997121001975371,5730,0.2193397324025596,Raymonds Hill,72,equal_mean (point)
0.2193397324025596,0.6595620568717182,0.23321811078347576,0.7997121001975371,5730,0.1627822990743709,Raymonds Hill,72,ensemble_7nwp
0.23477862906253025,0.6738339987674512,0.19967504497451205,0.7958628345761363,5730,0.23477862906253025,Raymonds Hill,72,lgbm_tweedie_single_stage
