lead,model,crps,mae,rmse,mae_wet,fit_s
24,ts_quantile_stitch,0.12049886502126567,0.1831081398323909,0.5321381100851563,0.6393730767150035,1.5
24,ts_emos_gamma,0.12160600033880968,0.2023439100266037,0.6458972243436742,0.6481635036366363,0.8333333333333334
24,ts_emos_lognormal,0.12398408439695119,0.20773405317677282,0.8223294357244466,0.6676576100334843,0.03333333333333333
48,ts_quantile_stitch,0.13192608283434568,0.2059623045901777,0.5612919089169406,0.6769739129364476,1.5666666666666667
48,ts_emos_gamma,0.135678533143927,0.23621307296537553,0.9039004414266508,0.7490717901618722,0.8666666666666667
48,ts_emos_lognormal,0.1359125651896178,0.24227557481983628,1.0428426758834235,0.7717908527529479,0.0
72,ts_emos_lognormal,0.1423108507815978,0.2541142467185438,0.6325388711084189,0.7354057056697251,0.0
72,ts_emos_gamma,0.14262162861457378,0.2502258092537144,0.6158505435528269,0.7215499953351202,0.8333333333333334
72,ts_quantile_stitch,0.14304027256115323,0.22697721006344984,0.5942945748251721,0.7073904005419308,1.6666666666666667
