mae,rmse,mae_wet,n,station,lead,model,crps,fit_s,extra
0.15830042323684398,0.43676455830829364,0.5426375401987694,5732,Chards Snowdon Hill,24,ts_quantile_stitch,0.10074035194726867,0.6,
0.17585112403653785,0.6254506952378526,0.5727342671246892,5732,Chards Snowdon Hill,24,ts_emos_gamma,0.10485150694112678,0.3,alpha=1.335
0.17658888280154697,0.7052673400423503,0.5783041803588171,5732,Chards Snowdon Hill,24,ts_emos_lognormal,0.10544328817048532,0.0,sigma=0.867
0.16889090931168668,0.43041737494307236,0.5310567204919501,5732,Chards Snowdon Hill,24,ts_ngboost_gamma,0.09963301371968744,5.5,best_iter=243
0.15915488425126323,0.4270574802719534,0.5325453778351666,5732,Chards Snowdon Hill,24,ts_ngboost_lognormal,0.09878187149129863,4.9,best_iter=190
0.17866427239050953,0.46260453232428933,0.5770559445742645,5732,Chards Snowdon Hill,48,ts_quantile_stitch,0.11164299462151109,0.5,
0.20256552359085708,0.7517368196139151,0.6484438514411796,5732,Chards Snowdon Hill,48,ts_emos_gamma,0.11619780820138895,0.2,alpha=1.275
0.20056402558469624,0.7240990334380921,0.6431596686390167,5732,Chards Snowdon Hill,48,ts_emos_lognormal,0.11436072277674246,0.0,sigma=0.894
0.1865845129591652,0.46176012633207747,0.5658956227463945,5732,Chards Snowdon Hill,48,ts_ngboost_gamma,0.10976551114619623,4.8,best_iter=211
0.18467252008278132,0.46539535988227865,0.57489105212346,5732,Chards Snowdon Hill,48,ts_ngboost_lognormal,0.10986308608749427,3.8,best_iter=145
0.196018308508435,0.4918360721964376,0.6027232432755674,5732,Chards Snowdon Hill,72,ts_quantile_stitch,0.12114422397024763,0.6,
0.21343288664519985,0.5168070397998784,0.6193795929093876,5732,Chards Snowdon Hill,72,ts_emos_gamma,0.12228911996475535,0.3,alpha=1.197
0.21320144359864093,0.5201441183479909,0.6240300212077063,5732,Chards Snowdon Hill,72,ts_emos_lognormal,0.12141847635886163,0.0,sigma=0.919
0.21225824920483694,0.5064900204980497,0.6177106730209765,5732,Chards Snowdon Hill,72,ts_ngboost_gamma,0.12311206174369918,6.5,best_iter=290
0.20372611693771123,0.49401715961970594,0.6032266934617039,5732,Chards Snowdon Hill,72,ts_ngboost_lognormal,0.119807144893872,3.8,best_iter=145
0.19431748588195016,0.5516805569196785,0.65764590989531,5627,Goren,24,ts_quantile_stitch,0.127668632156997,0.4,
0.21564619881215585,0.6904303047095652,0.6664753880688571,5627,Goren,24,ts_emos_gamma,0.12895554051254549,0.3,alpha=0.985
0.23003560770261489,1.080090785936669,0.7076206296506397,5627,Goren,24,ts_emos_lognormal,0.1335954333042145,0.0,sigma=1.070
0.2062864816489719,0.5371165261447911,0.6423753915426434,5627,Goren,24,ts_ngboost_gamma,0.12528289911769883,6.5,best_iter=274
0.20128627978258168,0.5309954348362519,0.6387286886135568,5627,Goren,24,ts_ngboost_lognormal,0.1248889460997323,5.5,best_iter=210
0.21839395565122616,0.5849321598778627,0.6996215087974327,5627,Goren,48,ts_quantile_stitch,0.13934507941708976,0.4,
0.25694059060585045,1.265290492107723,0.8048407968590743,5627,Goren,48,ts_emos_gamma,0.14573800745970508,0.3,alpha=0.946
0.27414943521571017,1.6726127115374492,0.8675831748564641,5627,Goren,48,ts_emos_lognormal,0.14827636326964386,0.0,sigma=1.106
0.23462069970779148,0.5790928983711717,0.6905864712519835,5627,Goren,48,ts_ngboost_gamma,0.13773536490723284,5.8,best_iter=242
0.23463484844785862,0.577187606206656,0.690764422719848,5627,Goren,48,ts_ngboost_lognormal,0.13710275555981352,3.9,best_iter=142
0.2418954270486506,0.6230064497416363,0.7296146076292743,5627,Goren,72,ts_quantile_stitch,0.15220681666606492,0.4,
0.2668013449277924,0.640565004959696,0.7411172339055757,5627,Goren,72,ts_emos_gamma,0.15075179447757614,0.3,alpha=0.906
0.2795507096027474,0.6869920501393766,0.7739300862740949,5627,Goren,72,ts_emos_lognormal,0.15157792676058243,0.0,sigma=1.127
0.262328706061933,0.6171358190589731,0.7167400433842406,5627,Goren,72,ts_ngboost_gamma,0.1502560816322304,3.8,best_iter=128
0.2673443369320799,0.6151048629774647,0.721091022273429,5627,Goren,72,ts_ngboost_lognormal,0.14996186020494773,3.1,best_iter=110
0.19670651037837855,0.6079692150274969,0.7178357800509313,5730,Raymonds Hill,24,ts_quantile_stitch,0.13308761095953134,0.4,
0.21553440723111747,0.6218106730836049,0.7052808557163627,5730,Raymonds Hill,24,ts_emos_gamma,0.13101095356275674,0.3,alpha=0.977
0.21657766902615658,0.6816301811943206,0.7170480200909961,5730,Raymonds Hill,24,ts_emos_lognormal,0.13291353171615372,0.0,sigma=1.074
0.22070131855914282,0.6016764156892945,0.7026279367777791,5730,Raymonds Hill,24,ts_ngboost_gamma,0.13175387666282626,3.8,best_iter=157
0.21067932208991752,0.5946149802892874,0.7042344760356352,5730,Raymonds Hill,24,ts_ngboost_lognormal,0.13188635274983532,4.1,best_iter=158
0.22082868572879738,0.6363390345486696,0.7542442854376454,5730,Raymonds Hill,48,ts_quantile_stitch,0.1447901744644362,0.5,
0.24913310469941904,0.6946740125583141,0.7939307221853629,5730,Raymonds Hill,48,ts_emos_gamma,0.14509978377068697,0.3,alpha=0.945
0.25211326365910236,0.7318162826747292,0.8046297147633628,5730,Raymonds Hill,48,ts_emos_lognormal,0.14510060952246706,0.0,sigma=1.101
0.24028821035729436,0.6287803508273337,0.7364313437510651,5730,Raymonds Hill,48,ts_ngboost_gamma,0.1415453933095671,4.9,best_iter=214
0.23587131913423204,0.6246215979161669,0.7386409286970703,5730,Raymonds Hill,48,ts_ngboost_lognormal,0.14199020493521594,3.8,best_iter=147
0.24301789463326395,0.6680412025374423,0.7898333507209507,5730,Raymonds Hill,72,ts_quantile_stitch,0.1557697770471471,0.4,
0.270443196188151,0.6901795858989063,0.8041531591903972,5730,Raymonds Hill,72,ts_emos_gamma,0.15482397140138987,0.2,alpha=0.895
0.26959058695424326,0.6904804448378892,0.8082570095273741,5730,Raymonds Hill,72,ts_emos_lognormal,0.15393614922534932,0.0,sigma=1.129
0.27000541797177646,0.6699284528871844,0.778922631875127,5730,Raymonds Hill,72,ts_ngboost_gamma,0.15499953392222113,3.4,best_iter=132
0.26598761545256755,0.6670241832493533,0.7878779184695053,5730,Raymonds Hill,72,ts_ngboost_lognormal,0.15387602994627114,3.6,best_iter=133
