lead,model,mae,rmse,r2,mae_wet,crps
24,two_stage_distribution,0.1831081398323909,0.5321381100851563,0.37127848909766836,0.6393730767150035,0.12049886502126567
24,ensemble_7nwp,0.167502399418079,0.5248131160649672,0.3891264697571914,0.6366209512561217,0.1270486291536361
24,equal_mean (point),0.167502399418079,0.5248131160649672,0.3891264697571914,0.6366209512561217,0.167502399418079
24,lgbm_tweedie_single_stage,0.17963619648526996,0.526582772450845,0.383835406521118,0.6326535981838067,0.17963619648526996
24,two_stage_point,0.19192386283341376,0.5306692684510362,0.37420977484332446,0.6339548740122997,0.19192386283341376
48,two_stage_distribution,0.2059623045901777,0.5612919089169406,0.2999231738066182,0.6769739129364476,0.13192608283434568
48,ensemble_7nwp,0.1893707326746207,0.5632564063300215,0.29473906818513246,0.6970329903371971,0.14032397707762156
48,equal_mean (point),0.1893707326746207,0.5632564063300215,0.29473906818513246,0.6970329903371971,0.1893707326746207
48,lgbm_tweedie_single_stage,0.2031978171622756,0.5633200210537085,0.2945803669649755,0.6806881747571986,0.2031978171622756
48,two_stage_point,0.2190944879775426,0.5655973009171501,0.2888901454112688,0.6727820049594992,0.2190944879775426
72,two_stage_distribution,0.22697721006344984,0.5942945748251721,0.214451047485658,0.7073904005419308,0.14304027256115323
72,ensemble_7nwp,0.20408261043132736,0.5846912205203066,0.23974530159225138,0.7183915662074543,0.14936889404802667
72,equal_mean (point),0.20408261043132736,0.5846912205203066,0.23974530159225138,0.7183915662074543,0.20408261043132736
72,lgbm_tweedie_single_stage,0.224596920201488,0.59545343998432,0.21202375989580455,0.7119237074887005,0.224596920201488
72,two_stage_point,0.2422691529442406,0.5962074442738898,0.20940503409253153,0.7003639693877003,0.2422691529442406
