lead,loss,w_gfs,w_ecmwf,w_icon,w_mf,w_gem,w_aifs,w_jma,b_Chards,b_Goren,b_Raymon
24,mse,0.13287636031208033,0.148199791374886,0.08422363616135797,0.1588523091508167,0.17458338119047298,0.1428571301171318,0.15840739169325427,0.024594429034088545,0.042966236038580186,0.03807100784548122
24,tweedie,0.15955784389892527,0.14880337720347597,0.13331687618036484,0.13602798153707207,0.17482322287812607,0.14285700685255448,0.10461369144948142,0.019241042245263,0.021415381268494658,0.022474454573122964
48,mse,0.128502793303933,0.2580433799579123,0.22352665452476342,0.07292954736731515,0.17441755227027675,0.14258007257579944,0.0,0.025888323606308276,0.043525804359731204,0.039351714859584726
48,tweedie,0.07703339127669771,0.21993774402637034,0.13097039115439169,0.1371597964949612,0.17712163574236645,0.14285720421872064,0.11491983708649196,0.022916161723108744,0.023452680094101577,0.023806330163855482
72,mse,0.1201838622113638,0.3713434127433204,0.2175586821162589,0.03163002135046412,0.03392312786735071,0.14282825198343732,0.08253264172780476,0.029135256498099234,0.048728840783677355,0.04260359161755221
72,tweedie,0.03883364976037127,0.37061128472586646,0.1346212599818039,0.07168668396281391,0.09044754869577437,0.1428572150282786,0.15094235784509138,0.030705554345374458,0.032625912421738124,0.03264304820059011
