lead,model,crps,mae,rmse,mae_wet
24,ts_ngboost_lognormal_perstation,0.11851397579108967,0.19092228242956774,0.5172425396927104,0.6250101133211311
24,ts_inla_lognormal_pooled,0.1235148052972308,0.20546580049443977,0.7307541058519541,0.6643041230500345
48,ts_ngboost_lognormal_perstation,0.1296397658558896,0.21866528538793784,0.5555529038849389,0.6683979256960767
48,ts_inla_lognormal_pooled,0.13504072905366218,0.23909151340276436,0.8505772616686444,0.7601258766980723
72,ts_ngboost_lognormal_perstation,0.14124021175775217,0.24551812355965744,0.5920638708852316,0.7039265451067361
72,ts_inla_lognormal_pooled,0.1424380280795816,0.25355306400811395,0.6302738702896888,0.7355801113448918
