mae,rmse,mae_wet,n,station,lead,model,crps
0.1886565816347396,0.7215777605042414,0.6084140883980581,5732,Chards Snowdon Hill,24,ts_inla_lognormal_pooled,0.10540425922272335
0.16100296478808054,0.4276305585439299,0.5332085309528114,5732,Chards Snowdon Hill,24,ts_ngboost_lognormal_perstation,0.09888062730984193
0.2111791986996436,0.6976445711168511,0.6612542995965779,5627,Goren,24,ts_inla_lognormal_pooled,0.1298596373663705
0.20112091425169729,0.5299920109826706,0.6375972884312655,5627,Goren,24,ts_ngboost_lognormal_perstation,0.12480714112706146
0.21656162114893607,0.7730399859347701,0.7232439811554674,5730,Raymonds Hill,24,ts_inla_lognormal_pooled,0.13528051930259855
0.2106429682489254,0.5941050495515307,0.7042245205793165,5730,Raymonds Hill,24,ts_ngboost_lognormal_perstation,0.13185415893636562
0.2235224234225994,0.8536801596650265,0.7076441512775007,5732,Chards Snowdon Hill,48,ts_inla_lognormal_pooled,0.11708087219839843
0.184109755210939,0.4644437172152424,0.5743747253868189,5732,Chards Snowdon Hill,48,ts_ngboost_lognormal_perstation,0.10972622343796386
0.24452616049332165,0.8182589402395377,0.7587388891237509,5627,Goren,48,ts_inla_lognormal_pooled,0.14186408061339442
0.2351560223197306,0.576660690505038,0.6908998728141542,5627,Goren,48,ts_ngboost_lognormal_perstation,0.13712220626784333
0.24922595629237201,0.8797926851013692,0.8139945896929652,5730,Raymonds Hill,48,ts_inla_lognormal_pooled,0.14617723434919372
0.23673007863314388,0.6255543039345365,0.7399191788872568,5730,Raymonds Hill,48,ts_ngboost_lognormal_perstation,0.14207086786186163
0.2352976671712777,0.572644425030216,0.6678520707477924,5732,Chards Snowdon Hill,72,ts_inla_lognormal_pooled,0.12355600771612042
0.20389787622129094,0.49438711391992995,0.6041786701883013,5732,Chards Snowdon Hill,72,ts_ngboost_lognormal_perstation,0.1199090669692528
0.25983150180124454,0.627603522426787,0.7350023477295807,5627,Goren,72,ts_inla_lognormal_pooled,0.14967656645737293
0.26706657484834867,0.615256402487219,0.7204474488733384,5627,Goren,72,ts_ngboost_lognormal_perstation,0.14996118912026837
0.2655300230518196,0.6905736634120636,0.8038859155573023,5730,Raymonds Hill,72,ts_inla_lognormal_pooled,0.1540815100652515
0.26558991960933276,0.666548096248546,0.7871535162585686,5730,Raymonds Hill,72,ts_ngboost_lognormal_perstation,0.15385037918373531
