param,station,lead_h,mean,sd
intercept,Bellever,24,-0.3052668191184699,0.3239250438261235
precip_ecmwf_ifs025,Bellever,24,-0.06365177373362615,0.273405572610619
precip_gem_seamless,Bellever,24,5.01254339081534,0.6645945624625481
precip_gfs_seamless,Bellever,24,-0.17227202249956042,0.6056331562755606
precip_icon_seamless,Bellever,24,0.6913525794628483,0.7427823585354162
precip_meteofrance_seamless,Bellever,24,-0.24958268054080018,0.34782034690520863
precip_ukmo_seamless,Bellever,24,0.19870288849326195,1.159080613186288
hour_sin,Bellever,24,0.56502402263557,0.15529160962529942
hour_cos,Bellever,24,0.0029010544464157344,0.14725524141915602
intercept,Bellever,48,-0.015620413441486973,0.36059727216442666
precip_ecmwf_ifs025,Bellever,48,0.18120216515290852,0.28651016492988474
precip_gem_seamless,Bellever,48,5.911782556215956,0.7015036581047573
precip_gfs_seamless,Bellever,48,-0.2167948009425632,0.6095439430443813
precip_icon_seamless,Bellever,48,0.7702308892531482,0.8010228101757821
precip_meteofrance_seamless,Bellever,48,0.3000489026190435,0.43358886478938863
precip_ukmo_seamless,Bellever,48,-0.006792322359307251,1.181740168272289
hour_sin,Bellever,48,0.5850595425458903,0.15386950984258138
hour_cos,Bellever,48,-0.06396098973785705,0.14424216163726405
intercept,Bellever,72,-0.4449088909170938,0.32119137300926687
precip_ecmwf_ifs025,Bellever,72,0.06663214957081767,0.1347445180546696
precip_gem_seamless,Bellever,72,2.355750405773296,0.4048243766788439
precip_gfs_seamless,Bellever,72,-0.5983840467342573,0.5191692689019396
precip_icon_seamless,Bellever,72,0.4165878379890024,0.645668136059591
precip_meteofrance_seamless,Bellever,72,0.18549830054145236,0.5430259700379896
precip_ukmo_seamless,Bellever,72,0.3016431433967012,1.1792651563993772
hour_sin,Bellever,72,0.25868241898420374,0.1366139178637857
hour_cos,Bellever,72,-0.3728880392188507,0.13512559978497024
intercept,Princetown,24,-0.06648302774733077,0.3210874335639231
precip_ecmwf_ifs025,Princetown,24,0.1254143397756856,0.2657262810929715
precip_gem_seamless,Princetown,24,5.36905187665542,0.7077664884965148
precip_gfs_seamless,Princetown,24,-0.32703482525377503,0.6230119715072263
precip_icon_seamless,Princetown,24,0.7713421602077817,0.7391728941060308
precip_meteofrance_seamless,Princetown,24,0.14072382801799954,0.3436868182798467
precip_ukmo_seamless,Princetown,24,-0.0012517670470619082,1.1380102984300675
hour_sin,Princetown,24,0.5026259959894789,0.14656557921921617
hour_cos,Princetown,24,-0.001937956426302346,0.1491538193101165
intercept,Princetown,48,0.20478008382450186,0.3606610700096682
precip_ecmwf_ifs025,Princetown,48,0.34823759305829877,0.3074427920925411
precip_gem_seamless,Princetown,48,6.246592679872614,0.7354044531029147
precip_gfs_seamless,Princetown,48,-0.3602364714077493,0.6158467098940815
precip_icon_seamless,Princetown,48,0.8194511303256732,0.7909265045184503
precip_meteofrance_seamless,Princetown,48,0.6927576773089971,0.4440095062949045
precip_ukmo_seamless,Princetown,48,-0.19215912954155898,1.1589157958910823
hour_sin,Princetown,48,0.5226578523803667,0.14953338478180334
hour_cos,Princetown,48,-0.060901096655284856,0.14435614400385824
intercept,Princetown,72,-0.24313469614947184,0.3161462038123352
precip_ecmwf_ifs025,Princetown,72,0.000539539718002099,0.1413859780088689
precip_gem_seamless,Princetown,72,2.7792101769154978,0.4550041965781496
precip_gfs_seamless,Princetown,72,-0.7403848266559651,0.5312682150755169
precip_icon_seamless,Princetown,72,0.47313716741222334,0.6258253600367901
precip_meteofrance_seamless,Princetown,72,0.48852823509409987,0.5480906466078199
precip_ukmo_seamless,Princetown,72,0.13985007042400835,1.1575337873800062
hour_sin,Princetown,72,0.2088257259727269,0.13164554235926906
hour_cos,Princetown,72,-0.36764407175242153,0.1324986354783062
intercept,Hexworthy,24,-0.03328327241193722,0.32512005756612794
precip_ecmwf_ifs025,Hexworthy,24,0.0337530660155062,0.25527746882905256
precip_gem_seamless,Hexworthy,24,5.031974870373204,0.6778654180116935
precip_gfs_seamless,Hexworthy,24,-0.21342021281257112,0.6214240699832275
precip_icon_seamless,Hexworthy,24,1.11491521793062,0.7981960992269469
precip_meteofrance_seamless,Hexworthy,24,0.08304608257284704,0.32649826301765195
precip_ukmo_seamless,Hexworthy,24,-0.039243606403019944,1.1448419794959783
hour_sin,Hexworthy,24,0.4387885262936246,0.1490572724355545
hour_cos,Hexworthy,24,-0.14564683234995082,0.15116593012115093
intercept,Hexworthy,48,0.24653537104149031,0.3652539141937799
precip_ecmwf_ifs025,Hexworthy,48,0.24590182431698066,0.2819153555968753
precip_gem_seamless,Hexworthy,48,5.893595959831592,0.7061404998111874
precip_gfs_seamless,Hexworthy,48,-0.1912785821524522,0.6129630357903182
precip_icon_seamless,Hexworthy,48,1.152338967360569,0.8359820305645993
precip_meteofrance_seamless,Hexworthy,48,0.5720428277124294,0.4205287843680559
precip_ukmo_seamless,Hexworthy,48,-0.24073792690854104,1.1724367454819546
hour_sin,Hexworthy,48,0.4589587855993626,0.15107845828804953
hour_cos,Hexworthy,48,-0.21601774639768984,0.14834764235930728
intercept,Hexworthy,72,-0.19620558002642594,0.31908384579955534
precip_ecmwf_ifs025,Hexworthy,72,0.04925647948484943,0.13301214740924688
precip_gem_seamless,Hexworthy,72,2.3369975763589728,0.4007259158981079
precip_gfs_seamless,Hexworthy,72,-0.5414370511790296,0.5208796556312955
precip_icon_seamless,Hexworthy,72,0.9379087423436004,0.6847995896486168
precip_meteofrance_seamless,Hexworthy,72,0.3920780638548387,0.5330411687487124
precip_ukmo_seamless,Hexworthy,72,0.08841235728219689,1.1671686048671475
hour_sin,Hexworthy,72,0.13838077477940766,0.13170954427477485
hour_cos,Hexworthy,72,-0.5152127470109773,0.13715581400937615
