station,lead_h,n_test,obs_wet,model_a_brier,model_b_brier,model_a_logloss,model_b_logloss,a_pred_wet,b_pred_wet
Bellever,24,2024,0.2159090909090909,0.12230232064892929,0.12190041404668814,0.43520672818255757,0.446606155268721,0.26811906921073403,0.2639233981003899
Bellever,48,2024,0.2159090909090909,0.13004028777878526,0.13189833441851684,0.48305918216179256,0.4918260835184279,0.2697959352712786,0.2566595685662914
Bellever,72,1990,0.2150753768844221,0.15117304073196602,0.14844726356172389,0.4831735730633787,0.4795755052885519,0.31332004559755133,0.3139482478915972
Princetown,24,2514,0.3138424821002387,0.17075183472236882,0.17623780872914682,0.6865892201663746,0.7775038424275924,0.4002980777914337,0.40705347272351167
Princetown,48,2514,0.3138424821002387,0.19721504596809442,0.20381822965132834,1.025543814817417,1.1120554320196632,0.4322424558951051,0.42100529228633066
Princetown,72,2514,0.3138424821002387,0.2126918997619997,0.21476886387434468,0.6942189045354442,0.7472368128077924,0.42267011753822736,0.4481827530518473
Hexworthy,24,2025,0.2474074074074074,0.13888104777757607,0.1395350201889427,0.48009439738480575,0.495591661022251,0.2808235325450278,0.2818733579561704
Hexworthy,48,2025,0.2474074074074074,0.14230677058992058,0.14573583709180782,0.5176801300190826,0.5362454138307637,0.28360251081593457,0.27435494417789513
Hexworthy,72,1991,0.24610748367654445,0.16510812829388705,0.16443934103679553,0.5142705999834267,0.5197731223379567,0.33199683785047823,0.3435127547009727
